Member_number,Recommendation
1003,"['other vegetables', 'rolls/buns', 'root vegetables', 'bottled water', 'sausage', 'whole milk']"
1005,"['rolls/buns', 'shopping bags', 'whipped/sour cream', 'brown bread', 'margarine', 'soda']"
1014,"['whole milk', 'yogurt', 'tropical fruit', 'sausage', 'pip fruit', 'rolls/buns']"
1016,"['other vegetables', 'rolls/buns', 'pip fruit', 'shopping bags', 'bottled beer', 'soda', 'whole milk']"
1018,"['rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit', 'sausage', 'whole milk']"
1019,"['other vegetables', 'shopping bags', 'beef', 'hamburger meat', 'UHT-milk', 'soda']"
1024,"['other vegetables', 'root vegetables', 'tropical fruit', 'chicken', 'grapes', 'rolls/buns', 'soda']"
1025,"['yogurt', 'sausage', 'shopping bags', 'canned beer', 'coffee', 'whole milk', 'soda']"
1029,"['canned beer', 'frankfurter', 'beef', 'fruit/vegetable juice', 'dessert', 'other vegetables']"
1034,"['other vegetables', 'soda', 'tropical fruit', 'bottled water', 'bottled beer', 'whole milk']"
