rules,antecedents,consequents,support,confidence,lift,test_antecedentAppeared,test_followedRule,test_accuracy
"['whole milk', 'semi-finished bread']",['semi-finished bread'],['whole milk'],0.0009351845190993454,0.13541666666666666,1.14712192768637,46,5,0.10869565217391304
"['whole milk', 'chewing gum']",['chewing gum'],['whole milk'],0.0009351845190993454,0.10743801652892562,0.9101132649412523,59,5,0.0847457627118644
"['whole milk', 'ham']",['ham'],['whole milk'],0.0018703690381986907,0.13903743315508021,1.177793636982797,69,5,0.07246376811594203
"['rolls/buns', 'ice cream']",['ice cream'],['rolls/buns'],0.0009351845190993454,0.08280254777070065,0.9914196525068989,70,4,0.05714285714285714
"['whole milk', 'candy']",['candy'],['whole milk'],0.0012229336018991439,0.11971830985915492,1.0141402957660648,76,4,0.05263157894736842
"['whole milk', 'waffles']",['waffles'],['whole milk'],0.0015106826846989425,0.1099476439790576,0.9313724551815232,88,4,0.045454545454545456
"['other vegetables', 'white bread']",['white bread'],['other vegetables'],0.0015106826846989425,0.08502024291497977,0.91617550136522,113,5,0.04424778761061947
"['other vegetables', 'meat']",['meat'],['other vegetables'],0.0011509963311991942,0.08695652173913043,0.9370407819346142,70,3,0.04285714285714286
"['grapes', 'other vegetables']",['grapes'],['other vegetables'],0.0010071217897992951,0.09589041095890413,1.0333120951470747,71,3,0.04225352112676056
"['bottled beer', 'whole milk']",['bottled beer'],['whole milk'],0.0037407380763973814,0.10655737704918034,0.9026533201466519,193,8,0.04145077720207254
"['frankfurter', 'whole milk']",['frankfurter'],['whole milk'],0.003237177181497734,0.11221945137157108,0.9506170588154842,169,7,0.04142011834319527
"['whole milk', 'domestic eggs']",['domestic eggs'],['whole milk'],0.0030933026400978346,0.10913705583756345,0.9245059190724981,166,6,0.03614457831325301
"['frankfurter', 'other vegetables']",['frankfurter'],['other vegetables'],0.0030933026400978346,0.10723192019950124,1.155527847049044,169,6,0.03550295857988166
"['whole milk', 'sausage']",['sausage'],['whole milk'],0.005251420761096324,0.11605723370429252,0.983127121098946,285,9,0.031578947368421054
"['chicken', 'rolls/buns']",['chicken'],['rolls/buns'],0.0019423063088986404,0.09278350515463918,1.110924638376089,128,4,0.03125
"['grapes', 'soda']",['grapes'],['soda'],0.0011509963311991942,0.1095890410958904,1.4790264662854102,71,2,0.028169014084507043
"['soda', 'oil']",['oil'],['soda'],0.0010071217897992951,0.09150326797385622,1.2349387651500732,71,2,0.028169014084507043
"['hard cheese', 'rolls/buns']",['hard cheese'],['rolls/buns'],0.0010790590604992446,0.10135135135135134,1.2135100216495565,72,2,0.027777777777777776
"['rolls/buns', 'pip fruit']",['pip fruit'],['rolls/buns'],0.0030933026400978346,0.08481262327416174,1.015486887281759,232,5,0.021551724137931036
"['soda', 'shopping bags']",['shopping bags'],['soda'],0.0028774908279979856,0.0814663951120163,1.0994799596622704,230,4,0.017391304347826087
"['other vegetables', 'pork']",['pork'],['other vegetables'],0.002373929933098338,0.08684210526315789,0.9358078335373317,180,3,0.016666666666666666
"['frozen meals', 'soda']",['frozen meals'],['soda'],0.0010790590604992446,0.08108108108108107,1.0942797166098137,66,1,0.015151515151515152
"['salty snack', 'rolls/buns']",['salty snack'],['rolls/buns'],0.0012229336018991439,0.09189189189189188,1.1002490862955978,97,1,0.010309278350515464
"['hard cheese', 'yogurt']",['hard cheese'],['yogurt'],0.0009351845190993454,0.08783783783783784,1.3658096015478565,72,0,0.0
"['processed cheese', 'rolls/buns']",['processed cheese'],['rolls/buns'],0.0011509963311991942,0.14035087719298242,1.680463000740438,38,0,0.0
"['rolls/buns', 'waffles']",['waffles'],['rolls/buns'],0.0011509963311991942,0.0837696335078534,1.0029988590806804,88,0,0.0
"['herbs', 'whole milk']",['herbs'],['whole milk'],0.0010071217897992951,0.125,1.0588817794028031,46,0,0.0
"['whole milk', 'oil']",['oil'],['whole milk'],0.0013668081432990432,0.12418300653594772,1.051960983458994,71,0,0.0
