Member_number,without pattern
1000,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1001,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1002,"['whole milk', 'soda', 'tropical fruit', 'bottled water', 'shopping bags']"
1003,"['other vegetables', 'rolls/buns', 'root vegetables', 'bottled water', 'sausage']"
1004,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1005,"['rolls/buns', 'shopping bags', 'whipped/sour cream', 'brown bread', 'margarine']"
1006,"['whole milk', 'rolls/buns', 'bottled water', 'citrus fruit', 'pastry']"
1008,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1009,"['other vegetables', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1010,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'tropical fruit']"
1011,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1012,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1013,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1014,"['whole milk', 'yogurt', 'tropical fruit', 'sausage', 'pip fruit']"
1015,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1016,"['other vegetables', 'rolls/buns', 'pip fruit', 'shopping bags', 'bottled beer']"
1017,"['other vegetables', 'rolls/buns', 'root vegetables', 'brown bread', 'butter']"
1018,"['rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit', 'sausage']"
1019,"['other vegetables', 'shopping bags', 'beef', 'hamburger meat', 'UHT-milk']"
1020,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1021,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1022,"['whole milk', 'rolls/buns', 'sausage', 'citrus fruit', 'whipped/sour cream']"
1023,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1024,"['other vegetables', 'root vegetables', 'tropical fruit', 'chicken', 'grapes']"
1025,"['yogurt', 'sausage', 'shopping bags', 'canned beer', 'coffee']"
